# ---------------------------------------------------------------------------------------------------------
# Threshold	Precision	Recall   	F1-measure	Classif-ER	Fls-Alarm-Prob	Miss-Prob   
# ---------------------------------------------------------------------------------------------------------
0.978 0.934 0.502 0.653 0.000 0.000 0.498 
0.979 0.936 0.498 0.650 0.000 0.000 0.502 
0.980 0.936 0.497 0.650 0.000 0.000 0.503 
0.984 0.938 0.486 0.640 0.000 0.000 0.514 
0.984 0.938 0.483 0.638 0.000 0.000 0.517 
0.985 0.938 0.479 0.634 0.000 0.000 0.521 
0.986 0.939 0.476 0.632 0.000 0.000 0.524 
0.989 0.941 0.466 0.623 0.000 0.000 0.534 
0.989 0.941 0.465 0.623 0.000 0.000 0.535 
0.990 0.941 0.460 0.617 0.000 0.000 0.540 
0.990 0.941 0.458 0.616 0.000 0.000 0.542 
0.991 0.942 0.457 0.615 0.000 0.000 0.543 
0.993 0.943 0.444 0.604 0.000 0.000 0.556 
0.994 0.944 0.436 0.596 0.000 0.000 0.564 
0.994 0.944 0.434 0.594 0.000 0.000 0.566 
0.996 0.946 0.419 0.581 0.000 0.000 0.581 
0.996 0.946 0.416 0.577 0.000 0.000 0.584 
0.996 0.946 0.413 0.575 0.000 0.000 0.587 
0.996 0.947 0.408 0.570 0.000 0.000 0.592 
0.997 0.947 0.407 0.570 0.000 0.000 0.593 
0.997 0.947 0.404 0.566 0.000 0.000 0.596 
0.997 0.947 0.401 0.563 0.000 0.000 0.599 
0.997 0.947 0.400 0.562 0.000 0.000 0.600 
0.997 0.948 0.399 0.562 0.000 0.000 0.601 
0.997 0.948 0.397 0.560 0.000 0.000 0.603 
0.997 0.948 0.393 0.555 0.000 0.000 0.607 
0.998 0.949 0.378 0.540 0.000 0.000 0.622 
0.998 0.949 0.376 0.538 0.000 0.000 0.624 
0.998 0.949 0.372 0.534 0.000 0.000 0.628 
0.998 0.949 0.371 0.533 0.000 0.000 0.629 
0.998 0.950 0.369 0.531 0.000 0.000 0.631 
0.999 0.950 0.356 0.517 0.000 0.000 0.644 
0.999 0.950 0.353 0.515 0.000 0.000 0.647 
0.999 0.950 0.350 0.512 0.000 0.000 0.650 
0.999 0.950 0.348 0.510 0.000 0.000 0.652 
0.999 0.951 0.340 0.501 0.000 0.000 0.660 
0.999 0.951 0.338 0.499 0.000 0.000 0.662 
0.999 0.951 0.338 0.498 0.000 0.000 0.662 
0.999 0.951 0.336 0.497 0.000 0.000 0.664 
0.999 0.951 0.335 0.496 0.000 0.000 0.665 
0.999 0.952 0.332 0.492 0.000 0.000 0.668 
0.999 0.952 0.327 0.487 0.000 0.000 0.673 
1.000 0.952 0.320 0.479 0.000 0.000 0.680 
1.000 0.952 0.307 0.465 0.000 0.000 0.693 
1.000 0.952 0.288 0.442 0.000 0.000 0.712 
1.000 0.952 0.283 0.436 0.000 0.000 0.717 
1.000 0.952 0.280 0.432 0.000 0.000 0.720 
1.000 0.952 0.274 0.425 0.000 0.000 0.726 
1.000 0.952 0.267 0.417 0.000 0.000 0.733 
1.000 0.952 0.264 0.414 0.000 0.000 0.736 
1.000 0.952 0.261 0.410 0.000 0.000 0.739 
1.000 0.952 0.258 0.407 0.000 0.000 0.742 
1.000 0.952 0.258 0.406 0.000 0.000 0.742 
1.000 0.952 0.258 0.405 0.000 0.000 0.742 
1.000 0.952 0.257 0.405 0.000 0.000 0.743 
1.000 0.952 0.257 0.404 0.000 0.000 0.743 
1.000 0.952 0.256 0.404 0.000 0.000 0.744 
1.000 0.952 0.256 0.403 0.000 0.000 0.744 
1.000 0.952 0.255 0.403 0.000 0.000 0.745 
1.000 0.952 0.255 0.402 0.000 0.000 0.745 
1.000 0.952 0.254 0.402 0.000 0.000 0.746 
1.000 0.952 0.254 0.401 0.000 0.000 0.746 
1.000 0.952 0.253 0.400 0.000 0.000 0.747 
1.000 0.952 0.253 0.399 0.000 0.000 0.747 
1.000 0.952 0.252 0.399 0.000 0.000 0.748 
1.000 0.952 0.252 0.398 0.000 0.000 0.748 
1.000 0.952 0.251 0.398 0.000 0.000 0.749 
